ID;Age;Gender;Income;EnrollmentStart;EnrollmentFinish;LastPeriodStart;LastPeriodFinish;DateLastVisit;DaysWithoutFrequency;LifetimeValue;UseByTime;AthleticsActivities;WaterActivities;FitnessActivities;DanceActivities;TeamActivities;RacketActivities;CombatActivities;NatureActivities;SpecialActivities;OtherActivities;NumberOfFrequencies;AttendedClasses;AllowedWeeklyVisitsBySLA;AllowedNumberOfVisitsBySLA;RealNumberOfVisits;NumberOfRenewals;HasReferences;NumberOfReferences;Dropout
10049;56;Male;6540.0;2018-09-03;2018-09-03;2019-07-01;2019-12-31;2019-10-29;2;540.1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;112.0;0;7.0;60.97;32;1;0.0;0;0
10050;23;Male;1500.0;2017-10-04;2018-05-31;2018-01-01;2018-06-30;2018-05-24;7;303.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;0;7.0;60.97;5;0;0.0;0;1
10051;12;Female;0.0;2018-08-17;2018-08-17;2019-07-01;2019-12-31;2019-10-28;3;852.3;0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;42.0;42;4.0;34.84;4;2;0.0;0;0
10052;21;Male;2020.0;2017-12-18;2018-12-11;2018-07-01;2018-12-31;2018-11-21;20;180.3;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;13.0;0;7.0;60.97;4;1;0.0;0;1
10053;33;Male;1440.0;2015-10-28;2018-07-31;2017-01-01;2017-06-30;2017-04-10;477;473.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0;7.0;30.03;0;2;0.0;0;1
10054;52;Male;7210.0;2016-09-20;2019-09-10;2019-07-01;2019-12-31;2019-07-11;61;825.5;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;78.0;0;7.0;62.02;1;3;0.0;0;1
10055;54;Female;4910.0;2018-09-27;2019-05-11;2019-01-01;2019-06-30;2019-02-18;82;270.4;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0;7.0;39.97;0;0;0.0;0;1
10056;32;Female;2520.0;2017-03-27;2017-08-29;2017-01-01;2017-12-31;2017-07-17;43;129.6;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0;3.0;26.13;7;0;0.0;0;1
10057;23;Female;1720.0;2016-05-06;2016-12-08;2016-07-01;2016-12-31;2016-10-17;52;109.7;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;10.0;0;7.0;60.97;2;1;0.0;0;1
10058;17;Female;1680.0;2014-09-30;2015-09-16;2015-01-01;2015-12-31;2015-05-27;112;476.1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;0;7.0;60.97;0;1;0.0;0;1
10059;21;Male;1730.0;2016-09-20;2018-07-08;2018-01-01;2018-12-31;2018-05-14;55;151.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0;7.0;60.97;1;1;0.0;0;1
10060;52;Female;2960.0;2015-01-19;2015-01-19;2019-07-01;2019-12-31;2019-10-30;1;1988.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;370.0;0;7.0;49.98;20;5;0.0;0;0
10061;7;Male;0.0;2017-09-02;2017-09-02;2019-07-01;2019-12-31;2019-10-26;5;816.2;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.0;65;2.0;17.42;5;2;0.0;0;0
10062;21;Female;2130.0;2015-03-04;2015-09-16;2015-01-01;2015-06-30;2015-05-06;133;73.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0;7.0;28.98;8;1;0.0;0;1
10063;44;Female;2490.0;2016-09-19;2019-10-31;2019-07-01;2019-12-31;2019-10-24;7;1324.3;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;286.0;0;7.0;60.97;16;3;0.0;0;1
10064;43;Male;5230.0;2016-01-23;2016-05-05;2016-01-01;2016-06-30;2016-05-04;1;76.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0;7.0;60.97;2;0;0.0;0;1
10065;9;Female;0.0;2016-08-31;2018-07-31;2018-01-01;2018-12-31;2018-07-06;25;294.2;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;13;2.0;17.42;1;3;0.0;0;1
10066;23;Female;1910.0;2016-10-12;2017-04-28;2017-01-01;2017-06-30;2017-04-03;25;45.1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;7.0;30.03;1;0;0.0;0;1
10067;19;Female;1360.0;2018-11-30;2019-09-10;2019-07-01;2019-12-31;2019-07-24;48;173.9;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0;7.0;62.02;4;1;0.0;0;1
10068;43;Female;;2016-09-16;2019-10-31;2019-07-01;2019-12-31;2019-10-30;1;849.8;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;214.0;0;7.0;21.98;9;3;0.0;0;1
10069;38;Male;4790.0;2015-01-02;2018-08-01;2018-07-01;2018-12-31;2018-05-19;74;887.7;0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;18.0;17;2.0;8.58;0;4;0.0;0;1
10070;27;Male;2320.0;2019-01-04;2019-10-13;2019-07-01;2019-12-31;2019-06-03;132;310.2;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0;7.0;60.97;0;1;0.0;0;1
10071;23;Female;2500.0;2018-07-02;2018-07-31;2018-07-01;2018-12-31;2018-07-19;12;30.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0;7.0;28.98;8;0;0.0;0;1
10072;3;Male;0.0;2017-10-04;2017-10-04;2019-07-01;2019-12-31;2019-10-30;1;836.3;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;29;2.0;14.86;5;2;0.0;0;0
10073;23;Female;2590.0;2015-01-22;2015-09-16;2015-01-01;2015-06-30;2015-02-05;223;70.6;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0;7.0;59.01;1;1;0.0;0;1
10074;3;Male;0.0;2016-03-03;2016-07-31;2016-01-01;2016-12-31;2016-06-25;36;197.1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;13;2.0;19.42;3;0;0.0;0;1
10075;22;Female;2530.0;2014-10-13;2017-08-29;2017-01-01;2017-12-31;2017-07-31;29;1299.4;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;412.0;0;7.0;60.97;30;4;0.0;0;1
10076;9;Male;;2017-09-16;2017-09-16;2019-07-01;2019-12-31;2019-10-26;5;708.2;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.0;64;2.0;17.42;6;2;0.0;0;0
10077;3;Male;0.0;2016-12-09;2016-12-09;2019-07-01;2019-12-31;2019-10-26;5;1171.45;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;116.0;98;2.0;17.14;7;3;0.0;0;0
10078;37;Male;3180.0;2014-10-03;2015-09-16;2014-07-01;2015-06-30;2014-10-08;343;121.1;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0;1.0;8.71;0;1;0.0;0;1
10079;23;Female;2110.0;2016-11-07;2019-07-31;2018-07-01;2018-12-31;2018-10-15;289;85.9;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0;7.0;41.02;6;2;0.0;0;1
10080;23;Male;2020.0;2016-03-02;2016-07-31;2016-07-01;2016-12-31;2016-07-18;13;93.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0;7.0;23.03;5;0;0.0;0;1
10081;29;Male;1490.0;2016-03-02;2016-07-31;2016-01-01;2016-12-31;2016-06-30;31;101.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0;7.0;62.02;14;0;0.0;0;1
10082;31;Female;1500.0;2016-05-27;2019-09-10;2019-07-01;2019-12-31;2019-07-30;42;1286.0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;213.0;24;7.0;62.02;9;4;0.0;0;1
10083;49;Female;4990.0;2015-01-20;2015-09-16;2015-01-01;2015-12-31;2015-07-31;47;233.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;19;4.0;34.84;5;1;0.0;0;1
10084;19;Male;1600.0;2018-05-08;2018-12-11;2018-07-01;2018-12-31;2018-11-28;13;73.9;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0;7.0;34.02;6;1;0.0;0;1
10085;57;Male;5690.0;2017-07-12;2018-03-10;2018-01-01;2018-06-30;2017-11-28;102;160.4;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0;7.0;59.01;0;2;0.0;0;1
10086;31;Female;3780.0;2018-12-19;2019-02-12;2019-01-01;2019-06-30;2019-01-09;34;61.6;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0;7.0;38.99;1;0;0.0;0;1
10087;22;Female;1810.0;2017-09-29;2018-07-31;2018-01-01;2018-12-31;2018-07-17;14;186.3;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;22.0;0;7.0;60.97;5;0;0.0;0;1
10088;35;Female;3270.0;2015-01-27;2015-09-16;2015-01-01;2015-12-31;2015-07-27;51;218.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;20;4.0;34.84;7;1;0.0;0;1
10089;20;Female;1300.0;2016-04-27;2016-11-02;2016-07-01;2016-12-31;2016-10-20;13;82.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;14.0;0;7.0;30.03;6;1;0.0;0;1
10090;15;Female;0.0;2014-06-17;2016-08-01;2016-01-01;2016-12-31;2016-06-29;33;257.8;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;18;2.0;17.42;3;3;0.0;0;1
10091;11;Male;0.0;2017-10-07;2017-10-07;2019-07-01;2019-12-31;2019-10-26;5;716.1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;0;2.0;17.42;4;2;0.0;0;0
10092;8;Female;0.0;2016-07-27;2016-07-27;2019-07-01;2019-12-31;2019-10-25;6;1213.3;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;107.0;92;2.0;17.42;4;4;0.0;0;0
10093;39;Female;1670.0;2016-03-01;2016-06-04;2016-01-01;2016-06-30;2016-04-12;53;61.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0;7.0;60.97;6;0;0.0;0;1
10094;20;Female;1310.0;2017-10-23;2018-01-26;2017-07-01;2018-06-30;2017-11-06;81;86.1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0;7.0;60.97;0;0;0.0;0;1
10095;83;Male;5080.0;2017-01-09;2017-01-09;2019-07-01;2019-12-31;2019-10-30;1;692.2;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;291.0;0;7.0;59.01;46;3;0.0;0;0
10096;8;Male;0.0;2017-09-30;2017-09-30;2019-07-01;2019-12-31;2019-10-26;5;714.2;0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;40.0;37;2.0;17.42;5;2;0.0;0;0
10097;29;Male;1890.0;2015-08-17;2018-07-31;2018-01-01;2018-12-31;2016-03-02;881;787.0;0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;7;2.0;17.42;0;4;0.0;0;1
10098;35;Male;6490.0;2015-09-14;2016-07-08;2016-01-01;2016-06-30;2016-07-08;0;216.5;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;37.0;0;7.0;59.99;4;0;0.0;0;1
10099;19;Female;1450.0;2016-11-07;2017-02-07;2016-07-01;2017-06-30;2016-11-30;69;118.6;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0;7.0;62.02;0;0;0.0;0;1
10100;22;Female;2540.0;2018-04-11;2018-07-08;2018-01-01;2018-12-31;2018-05-08;61;65.4;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0;7.0;60.97;1;0;0.0;0;1
10101;20;Female;1590.0;2016-09-29;2017-09-07;2017-01-01;2017-12-31;2017-05-09;121;289.6;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;0;7.0;60.97;0;1;0.0;0;1
10102;27;Female;2580.0;2015-11-04;2016-08-13;2016-07-01;2016-12-31;2016-08-10;3;310.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;78.0;6;7.0;4.97;2;2;0.0;0;1
10103;34;Male;2110.0;2016-08-02;2017-08-29;2017-01-01;2017-12-31;2017-05-30;91;374.6;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;43.0;0;7.0;60.97;0;2;0.0;0;1
10104;17;Female;1300.0;2015-11-12;2017-08-29;2017-01-01;2017-12-31;2017-06-02;88;499.1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;48.0;49;1.0;8.71;1;3;0.0;0;1
10105;22;Female;1660.0;2015-09-23;2016-01-04;2015-07-01;2016-06-30;2015-11-27;38;68.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0;7.0;60.97;4;0;0.0;0;1
10106;20;Female;2020.0;2015-09-17;2017-08-29;2017-01-01;2017-12-31;2017-07-11;49;217.7;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0;0;7.0;60.97;1;3;0.0;0;1
10107;19;Female;1690.0;2019-10-02;2019-10-31;2019-07-01;2019-12-31;2019-10-15;16;48.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0;;28.98;2;0;0.0;0;0
10108;23;Female;1970.0;2016-09-13;2016-11-07;2016-07-01;2016-12-31;2016-09-21;47;41.6;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0;7.0;52.99;3;0;0.0;0;1
10109;29;Female;2730.0;2019-09-13;2019-10-31;2019-07-01;2019-12-31;2019-10-29;2;96.2;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0;;48.02;13;0;0.0;0;0
